Question,Answer
매장 소개,"ROOT STATION은 빅데이터와 AI 분석을 통해 사용자에게 가장 완벽한 호환성을 자랑하는 커스텀 PC를 제안하는 프리미엄 컴퓨터 편집샵입니다."
견적 요청 방법,"원하시는 용도(게이밍/작업/사무 등)와 예산을 말씀해주시면 AI가 최적의 부품 조합을 추천해 드립니다."
배송 기간,"주문 결제 확인 후 조립 및 테스트 과정을 거쳐 평균 3~4일 이내에 발송됩니다."
포장 방식,"PC 내부에는 파손 방지용 에어캡을 가득 채우고 외부 박스는 충격 흡수 포장재를 사용하여 안전하게 배송됩니다."
AS 보증 기간,"ROOT STATION에서 구매하신 완본체 PC는 출고일로부터 2년간 무상 AS를 보증합니다."
윈도우 설치,"정품 윈도우를 함께 구매하시면 설치 및 드라이버 세팅까지 완료된 상태로 보내드립니다."
조립비 안내,"기본 조립비는 무료 이벤트 중이며 특수 작업(수랭 등) 시 추가 공임비가 발생할 수 있습니다."
호환성 체크,"견적함에서 호환성 버튼을 누르면 부품 간의 기술적 호환 여부를 즉시 알려드립니다."
부품 박스 동봉,"네. 조립에 사용된 정품 박스와 남은 나사 등은 별도 박스에 담아 함께 보내드립니다."
방문 수령,"서울 용산구 오프라인 쇼룸으로 오시면 직접 수령이 가능합니다."
교환 및 반품,"제품 수령 후 7일 이내 초기 불량 시 교환 가능하며 조립 후 단순 변심 반품은 불가합니다."
결제 수단,"신용카드, 무통장 입금, 네이버 페이 등 다양한 결제 수단을 지원합니다."
배송 조회,"주문 조회 페이지에서 송장 번호를 입력하시면 실시간 현황을 확인하실 수 있습니다."
